code,name,descr
it,Italy,"Italy is a country that consists of a peninsula delimited by the Alps and several islands surrounding it."
us,USA,"The United States of America (U.S.A. or USA), commonly known as the United States (U.S. or US) or America, is a transcontinental country located primarily in North America."
gb,Great Britain,"Great Britain is an island in the North Atlantic Ocean off the northwest coast of continental Europe."
au,Australia,"Australia, officially the Commonwealth of Australia, is a sovereign country comprising the mainland of the Australian continent, the island of Tasmania, and numerous smaller islands"
de,Germany,"Germany is a country in Central Europe. It is the second most populous country in Europe after Russia, and the most populous member state of the European Union"
ru,Russia,"Russia, or the Russian Federation, is a transcontinental country spanning Eastern Europe and Northern Asia"
